@8227573d-1874-49a2-8a47-81271bff7221_c9d44752_0_trimmed_filtered	1386 bp.	SSU: 1-659	ITS1: 660-857	5.8S: 858-1009	ITS2: 1010-1207	LSU: 1208-1386	
@df98b61c-7bf0-45e5-8bd1-4fdb909483f0_c9d44752_0_trimmed_filtered	465 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 104-298	LSU: 299-465	Broken or partial sequence, only partial 5.8S! 
@30716715-f261-4509-aaaa-8207c57f1005_c9d44752_0_trimmed_filtered	472 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-320	LSU: 321-472	Broken or partial sequence, only partial 5.8S! 
@8a656b56-a135-4175-872d-e6090a968fe9_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-206	ITS1: 207-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ee7b3a24-0b3c-4b28-942d-80e1fc96c7a6_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-170	ITS1: 171-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@dcf753b1-505f-4832-af3d-416b59d740ce_c9d44752_0_trimmed_filtered	341 bp.	SSU: 1-171	ITS1: 172-341	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7d8f25ed-a750-4bfd-8e4f-8b4e71229024_c9d44752_0_trimmed_filtered	348 bp.	SSU: 1-179	ITS1: 180-348	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@e6934c99-17cf-4918-94f0-a79aa722b37f_c9d44752_0_trimmed_filtered	213 bp.	SSU: 1-210	ITS1: 211-213	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@63090241-3652-457e-aad5-56e4985cde5b_c9d44752_0_trimmed_filtered	496 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 131-329	LSU: 330-496	Broken or partial sequence, only partial 5.8S! 
@1d06746f-785f-4766-a661-9941148803f7_c9d44752_0_trimmed_filtered	207 bp.	SSU: 1-204	ITS1: 205-207	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@03a72db4-2c10-43e7-9b1f-5dfb30339dae_c9d44752_0_trimmed_filtered	336 bp.	SSU: 1-113	ITS1: 114-306	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@810cf8e7-2548-4040-92b0-ec17e665efe8_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-205	ITS1: 206-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4b846f78-f714-4e93-ada3-a13f487752f1_c9d44752_0_trimmed_filtered	228 bp.	SSU: 1-224	ITS1: 225-228	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@e639fb94-7dc1-4f02-8a95-140252e11b2c_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-206	ITS1: 207-211	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@de2103ac-9b82-4bca-9104-2f90fb972844_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-214	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d1029d32-2291-4094-9447-c92dfef206a8_c9d44752_0_trimmed_filtered	440 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 100-297	LSU: 298-440	Broken or partial sequence, only partial 5.8S! 
@0c05519a-fef6-405d-9bf2-00e4b317c307_c9d44752_0_trimmed_filtered	539 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-376	LSU: 377-539	Broken or partial sequence, no 5.8S! 
@b6d0bb13-2900-4335-8e49-a5ab2c14a620_c9d44752_0_trimmed_filtered	336 bp.	SSU: 1-171	ITS1: 172-336	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@fafc1449-0082-42a1-b34f-be9b1def3044_c9d44752_0_trimmed_filtered	514 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 114-322	LSU: 323-514	Broken or partial sequence, only partial 5.8S! 
@a6fd702a-0b6f-4a04-b0e7-fc101511fd06_c9d44752_0_trimmed_filtered	205 bp.	SSU: 1-201	ITS1: 202-205	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@17f0fa28-ef37-410b-89a6-40c08ff611dd_c9d44752_0_trimmed_filtered	531 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 103-316	LSU: 317-531	Broken or partial sequence, only partial 5.8S! 
@a00bef7f-7a7f-4459-b8d2-05ae34d334e1_c9d44752_0_trimmed_filtered	251 bp.	SSU: 1-51	ITS1: 52-251	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d8548fa2-47a1-42c4-a164-e180222445c8_c9d44752_0_trimmed_filtered	371 bp.	SSU: 1-371	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d7e583fb-246a-4cd7-a83d-0e30e7e18a46_c9d44752_0_trimmed_filtered	205 bp.	SSU: 1-205	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@9802a6c1-859e-4dfe-a2e3-c1710926cca8_c9d44752_0_trimmed_filtered	337 bp.	SSU: 1-167	ITS1: 168-337	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7da67bc1-fef9-4932-8686-8c3542e1fe3f_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-200	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4981d494-e5ed-4f8d-817a-8845f2e1d59f_c9d44752_0_trimmed_filtered	207 bp.	SSU: 1-182	ITS1: 183-207	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b994076e-78db-43bc-acc1-071a95b8eabc_c9d44752_0_trimmed_filtered	477 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 113-333	LSU: 334-477	Broken or partial sequence, only partial 5.8S! 
@0b4df776-a7de-4535-a6be-2e8133e2e294_c9d44752_0_trimmed_filtered	333 bp.	SSU: 1-169	ITS1: 170-333	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4e190a0a-d2a9-4e1b-ba21-79cac1cbc28e_c9d44752_0_trimmed_filtered	492 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 112-319	LSU: 320-492	Broken or partial sequence, only partial 5.8S! 
@0ad287ad-53f3-432c-94a1-3b1ac95e9c77_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-207	ITS1: 208-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0f4e90a8-eefb-4ee6-a58b-fe52bef2504f_c9d44752_0_trimmed_filtered	277 bp.	SSU: 1-201	ITS1: 202-277	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@19ac6641-7128-493e-a605-9eea1e12e718_c9d44752_0_trimmed_filtered	510 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 90-308	LSU: 309-510	Broken or partial sequence, only partial 5.8S! 
@6ebe5d1f-3103-4512-98f5-cbda9bc4cdc5_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-207	ITS1: 208-211	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@e7bc981c-7beb-4618-aad3-d678967ecf44_c9d44752_0_trimmed_filtered	333 bp.	SSU: 1-333	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0768e7a1-fd38-4ad2-b9d0-e5bddb064d78_c9d44752_0_trimmed_filtered	207 bp.	SSU: 1-175	ITS1: 176-207	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@9ba44157-f658-4986-afac-35dd33b64fc9_c9d44752_0_trimmed_filtered	640 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 98-301	LSU: 302-640	Broken or partial sequence, only partial 5.8S! 
@d299942a-a964-497f-a44d-10319b76710d_c9d44752_0_trimmed_filtered	471 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 125-329	LSU: 330-471	Broken or partial sequence, only partial 5.8S! 
@c3c80902-2722-4b05-8cd8-a54c6d66c2b4_c9d44752_0_trimmed_filtered	268 bp.	SSU: 1-34	ITS1: 35-268	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@cc1bbae0-75cc-4bf9-b28e-6505b3918d58_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-172	ITS1: 173-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0008c575-c46d-4495-b9d0-7b048abecd39_c9d44752_0_trimmed_filtered	340 bp.	SSU: 1-337	ITS1: 338-340	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b4367f2c-cf01-4c9a-a7a2-efeba1bb8b34_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-209	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@f4a65f39-c36a-4761-ba31-40ea62ccfbbb_c9d44752_0_trimmed_filtered	384 bp.	SSU: 1-218	ITS1: 219-384	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@aced268f-8de7-4d1a-9bdf-b6e3f936b26a_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-216	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@8d13163a-e27a-44ae-b8a4-18451abe4338_c9d44752_0_trimmed_filtered	219 bp.	SSU: 1-214	ITS1: 215-219	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4baf6968-2b20-486e-b8a1-cec79557ceba_c9d44752_0_trimmed_filtered	257 bp.	SSU: 1-34	ITS1: 35-227	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@13db0154-9a06-4261-b9e0-d73d6bde01cd_c9d44752_0_trimmed_filtered	702 bp.	SSU: 1-702	ITS1: Not found	5.8S: No start	ITS2: 164-368	LSU: 369-702	Broken or partial sequence, only partial 5.8S! Chimeric! 
@9d6a086a-e37d-4d7d-bf15-5ffa5f15cd4a_c9d44752_0_trimmed_filtered	207 bp.	SSU: 1-207	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@2f17f8d8-e669-4895-a3c6-c0cc856c24df_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-211	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@690c552c-1f28-42f3-aa24-d74a8121a0dd_c9d44752_0_trimmed_filtered	337 bp.	SSU: 1-171	ITS1: 172-337	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ab1ab65a-8763-474d-8db8-b6470f0d8642_c9d44752_0_trimmed_filtered	206 bp.	SSU: 1-166	ITS1: 167-206	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@2ace17fa-36a0-42e5-92ae-c2fa8d128525_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-160	ITS1: 161-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7526df08-99ed-4b88-a17d-a34bc5366595_c9d44752_0_trimmed_filtered	446 bp.	SSU: 1-60	ITS1: 61-446	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@08f4b714-aecf-4624-9681-4a153c4fb91c_c9d44752_0_trimmed_filtered	230 bp.	SSU: 1-177	ITS1: 178-230	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@1e73637e-db1d-4058-982b-5300f06e9d64_c9d44752_0_trimmed_filtered	217 bp.	SSU: 1-214	ITS1: 215-217	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a0751e66-6c9d-43bd-8e07-df68a22fa03c_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-200	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@26c41ad0-27c9-4f6c-802a-6bb6b86d6f90_c9d44752_0_trimmed_filtered	215 bp.	SSU: 1-211	ITS1: 212-215	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d554df40-f0d9-41da-945f-b5f964b55961_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-199	ITS1: 200-200	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@90507c33-f44d-45ec-ba86-3e9311234715_c9d44752_0_trimmed_filtered	335 bp.	SSU: 1-331	ITS1: 332-335	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@bf403d42-835f-4bd7-b12f-d338ec20931d_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-173	ITS1: 174-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d1316036-199a-42a3-b176-edcc10908f2e_c9d44752_0_trimmed_filtered	212 bp.	SSU: 1-171	ITS1: 172-212	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a6362d0c-480c-4785-ad0d-0f3f02669900_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-210	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@1980aa7b-b1ca-4c98-965f-a50aa2f29d58_c9d44752_0_trimmed_filtered	212 bp.	SSU: 1-181	ITS1: 182-212	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@009c7a12-e1ed-4b9b-a559-03a57965f59b_c9d44752_0_trimmed_filtered	218 bp.	SSU: 1-175	ITS1: 176-218	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@50b17db4-4418-4bd3-9de6-5d3a5d757761_c9d44752_0_trimmed_filtered	469 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 112-310	LSU: 311-469	Broken or partial sequence, only partial 5.8S! 
@81af2812-5d60-4a4f-bda2-d5b88732791b_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-199	ITS1: 200-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
